coronavirus,712
COVID-19,662
mask,630
European,563
Response,504
Mechanism,440
health,433
Civil,385
protection,355
medical,351
Union,350
outbreak,350
Emergency,344
investment,334
Protection,330
control,325
public,321
respiratory,312
recovery,301
trial,300
testing,295
conference,295
measures,277
equipment,276
mechanism,274
extracorporeal,271
oxygenation,271
test,270
protective,264
hand,264
membrane,256
arrangements,254
personal,244
disease,240
crisis,238
direct,237
instrument,236
material,235
Recovery,231
study,227
virus,225
screening,224
community,222
respirator,222
support,221
Community,220
measure,211
clinical,211
asymptomatic,210
syndrome,201
positive,201
Crisis,198
worker,188
ECMO,185
moratorium,184
Facility,178
acute,174
short-time,170
gel,165
system,164
Instrument,164
novel,163
Global,157
Plan,156
immunity,154
plan,154
Support,153
Coronavirus,148
response,147
working,145
emergency,145
foreign,144
face,144
containment,142
medicine,139
Integrated,138
Political,138
critical,137
individual,137
payment,137
Alliance,136
non-pharmaceutical,136
pharmacy,132
event,132
case,130
distancing,129
lifting,129
chain,124
ventilator,124
care,123
Unemployment,122
pandemic,122
international,121
adaptive,121
distance,120
Middle,119
East,119
protein,118
tracing,118
Initiative,117
cross-border,116
infection,114
learning,114
COSME,114
civil,113
severe,111
transmission,111
pre-clinical,110
Coordination,108
online,106
contact,106
use,105
vaccine,104
drug,104
intervention,104
glove,104
procedure,102
coordination,101
staff,100
professional,100
alcohol-based,99
rating,96
scheme,96
call,94
arrangement,94
device,93
Centre,93
IPCR,92
holiday,92
2019-nCoV,90
pledging,90
antiviral,90
moratoria,88
mitigation,87
product,85
preclinical,84
within,84
pneumonia,83
substance,83
credit,83
assistance,83
pharmaceutical,83
FFP,82
swab,82
patient,81
SARS-CoV-2,79
global,79
disinfectant,79
market,78
procurement,78
viral,78
Gavi,78
plasma,77
near-patient,76
Programme,75
spike,75
team,75
Investment,75
SURE,75
active,74
State,73
strategy,73
Reinsurance,72
Scheme,72
Health,72
restrictions,72
education,71
System,70
randomised,70
framework,70
private,70
isolation,69
curve,69
rules-based,68
management,68
fostering,68
capacities,68
sanitiser,66
sanitizer,66
essential,66
teaching,64
AAA,64
triple-A,64
venoarterial,64
veno-arterial,64
EFG,64
resilience,64
intensive,63
Diseases,63
suit,63
Guarantee,63
diagnostic,62
dispensing,62
workers,62
venovenous,62
rapid,62
Center,62
responsible,60
Wuhan,60
seafood,60
antigen,60
clause,60
aid,60
epidemic,59
development,59
Committee,58
randomized,58
home,58
one-off,57
multi-centre,57
FDI,57
emergencies,57
research,57
purchase,56
social,56
lockdown,56
audioconference,56
interstitial,55
work,55
CPM,55
UCPM,55
facilitate,55
reinforced,55
cooperation,55
interventions,55
ECPM,55
confinement,55
roadmap,55
Marshall,54
Europe,54
off-label,53
chemical,52
Vaccine,52
InnovFin,52
Infectious,52
statutory,52
bronchoalveolar,52
examination,52
video,51
glycoprotein,51
investigational,50
unemployment,50
Joint,50
Procurement,50
Agreement,50
veno-arterial-venous,50
mitigate,50
Risks,50
particulate,50
LGF,50
strategic,50
epidemiological,49
Preparedness,49
point-of-care,49
false,49
NPI,49
exit,49
survey,48
Early,48
Warning,48
donor,48
magistral,48
advantage,48
short,48
infectious,48
corona,47
serological,47
syndrome-related,47
Fund,47
anaesthetic,46
(IPCR),46
Arrangements,46
co-ordination,46
ipcr,46
CCA,46
unusual,46
Respiratory,46
Syndrome,46
application,46
meeting,45
safety,45
common,45
physical,45
first,45
flattening,45
surgical,45
facemask,45
procedural,45
facemasks,45
Temporary,45
Framework,45
medicinal,44
COVID19,44
CMSS,44
movement,44
action,44
viable,44
webconferencing,43
Assistance,43
filtering,43
mortality,42
decentralised,42
Security,42
eyewear,42
temporary,42
defences,42
sovereign,42
border,41
facepiece,41
filter,41
maintenance-free,41
dust,41
FFP1,41
FFP2,41
FFP3,41
house,41
DFI,40
design,40
life,40
ECLS,40
corporeal,40
countermeasures,39
programme,38
countermeasure,38
distress,38
commuter,38
Roadmap,38
carrier,37
major,37
NGEU,37
parenteral,36
LVP,36
solution,36
authorisation,36
panic,36
advance,36
commitment,36
PMMA,36
poly(methyl,36
methacrylate),36
polymethyl,36
methacrylate,36
plexiglass,36
healthcare,35
oxygen,35
resuscitation,34
triage,33
Immunization,33
immunisation,33
rub,33
hydroalcoholic,33
sanitising,33
hydro-alcoholic,33
sanitizing,33
Humanitarian,33
investigation,32
therapy,32
warning,32
VA-ECMO,32
green,32
sero-epidemiological,32
particle,32
reagent,31
retail,31
chemist,31
SARS,31
VV-ECMO,31
veno-venous,31
vv-ECMO,31
group,31
PPE,31
ERCC,31
EER,31
ERC,31
mechanical,31
lung,31
multicenter,30
donors',30
donors,30
summit,30
cluster,30
concern,30
executive,30
lifetime,30
