2019-nCoV,['cs', 'da', 'de', 'es', 'fi', 'fr', 'it', 'nl', 'pt']
SARS-CoV-2,['cs', 'de', 'es', 'fi', 'fr', 'it', 'nl', 'pt']
CoV,['cs', 'da', 'de', 'es', 'fi', 'fr', 'it', 'nl']
GAVI Alliance,['cs', 'da', 'de', 'fi', 'fr', 'it', 'pt', 'pt']
antiviral drug,['de', 'de', 'es', 'es', 'fr', 'fr', 'pt', 'pt']
ERCC,['cs', 'da', 'de', 'de', 'fi', 'fr', 'it', 'nl']
Next Generation EU,['cs', 'da', 'de', 'es', 'fi', 'fr', 'nl', 'pt']
ritonavir,['cs', 'da', 'es', 'fr', 'it', 'nl', 'pt']
PEPP,['cs', 'de', 'es', 'fr', 'it', 'nl', 'pt']
ECMO,['cs', 'da', 'de', 'fi', 'fr', 'it', 'nl']
SURE instrument,['cs', 'de', 'es', 'fi', 'fr', 'it', 'nl']
SURE,['cs', 'de', 'es', 'fi', 'fr', 'it', 'nl']
SURE mechanism,['cs', 'de', 'es', 'fi', 'fr', 'it', 'nl']
CRII+,['cs', 'da', 'de', 'fi', 'fr', 'it', 'nl']
PMMA,['cs', 'da', 'de', 'fi', 'it', 'nl', 'pt']
CSPP,['da', 'de', 'es', 'fr', 'it', 'pt']
triage,['cs', 'da', 'fi', 'fr', 'it', 'nl']
EU Integrated Political Crisis Response (IPCR) arrangements,['da', 'de', 'fi', 'fr', 'fr', 'pt']
EU IPCR arrangements,['da', 'de', 'fi', 'fr', 'fr', 'pt']
COVID-19,['cs', 'de', 'es', 'fr', 'nl', 'pt']
SARS,['cs', 'de', 'fi', 'it', 'nl', 'pt']
MERS,['cs', 'de', 'fi', 'fr', 'it', 'nl']
remdesivir,['cs', 'es', 'fr', 'it', 'nl', 'pt']
COSME LGF,['cs', 'cs', 'de', 'fi', 'it', 'nl']
CEPI,['cs', 'de', 'fi', 'it', 'nl', 'pt']
coronavirus,['da', 'es', 'fr', 'it', 'nl']
CEAOB,['cs', 'fi', 'fr', 'it', 'nl']
GPMB,['de', 'es', 'fr', 'it', 'nl']
IPCR,['da', 'de', 'fi', 'fr', 'pt']
AAA,['da', 'de', 'es', 'fr', 'pt']
AAA rating,['da', 'de', 'es', 'fr', 'pt']
IL,['da', 'de', 'es', 'fr', 'pt']
receptor,['cs', 'da', 'es', 'nl', 'pt']
COVID19 CMSS,['cs', 'cs', 'fr', 'it', 'nl']
COSME EFG,['cs', 'cs', 'de', 'it', 'nl']
favipiravir,['cs', 'fr', 'it', 'nl', 'pt']
REACT-EU,['cs', 'de', 'es', 'fr', 'it']
CCA,['da', 'de', 'it', 'nl']
ARDS,['de', 'de', 'it', 'nl']
ICSR,['cs', 'fr', 'it', 'nl']
ICSRs,['cs', 'fr', 'it', 'nl']
cytokine,['cs', 'da', 'fr', 'nl']
antiviral,['de', 'es', 'fr', 'pt']
antivirals,['de', 'es', 'fr', 'pt']
antiviral medicine,['de', 'es', 'fr', 'pt']
antiviral medication,['de', 'es', 'fr', 'pt']
HSC,['cs', 'da', 'de', 'nl']
ESI,['da', 'de', 'it', 'nl']
LGF,['cs', 'fi', 'it', 'nl']
screening,['cs', 'da', 'it', 'nl']
health screening,['cs', 'da', 'it', 'nl']
medical screening,['cs', 'da', 'it', 'nl']
SICR,['cs', 'es', 'it', 'nl']
NextGenerationEU,['cs', 'de', 'nl', 'pt']
interferon,['da', 'it', 'nl']
IFN,['de', 'fr', 'it']
interstitium,['da', 'fr', 'nl']
POCT,['cs', 'da', 'it']
ERP,['da', 'de', 'it']
VA-ECMO,['de', 'fi', 'nl']
VV-ECMO,['de', 'fi', 'nl']
interleukine,['da', 'fr', 'nl']
plexiglass,['it', 'it', 'nl']
EFG,['cs', 'it', 'nl']
virion,['cs', 'fr', 'nl']
inflammation,['da', 'fr', 'nl']
myocardium,['da', 'nl', 'nl']
myocarditis,['da', 'da', 'nl']
blood plasma,['fi', 'fr', 'pt']
plasma,['fi', 'fr', 'pt']
severe acute respiratory syndrome coronavirus 2,['da', 'nl']
EWRS,['cs', 'de']
chloroquine,['fr', 'nl']
cluster,['da', 'it']
cluster of cases,['da', 'it']
disease cluster,['da', 'it']
virulence,['cs', 'fr']
Middle East respiratory syndrome,['da', 'nl']
UCPM,['de', 'it']
cleantech,['da', 'fi']
ECLS,['cs', 'it']
respirator,['nl', 'da']
Team Europe,['da', 'fi']
IDFF,['de', 'nl']
GHRP,['cs', 'it']
EBA,['cs', 'fi']
pandemic,['da', 'da']
headroom,['it', 'nl']
BAL,['fi', 'it']
NGEU,['cs', 'da']
Coalition for Epidemic Preparedness Innovations,['de', 'nl']
respiratory ventilator,['da', 'nl']
API,['it', 'nl']
LVP,['fr']
LVP solution,['fr']
web conference,['it']
MSC,['it']
Global Preparedness Monitoring Board,['it']
contact,['nl']
conference call,['it']
RMS,['de']
immunoglobulin,['da']
capsid,['da']
EU Integrated Political Crisis Response arrangements,['fr']
ipcr arrangements,['fr']
crisis coordination arrangements,['fr']
index case,['nl']
point-of-care testing,['da']
Middle East Respiratory Syndrome Coronavirus,['nl']
severe acute respiratory syndrome,['nl']
isolation,['da']
preclinical test,['nl']
pre-clinical test,['nl']
pre-clinical testing,['nl']
severe acute respiratory syndrome-related coronavirus,['nl']
FDI,['da']
viral spike protein,['nl']
spike protein,['nl']
spike glycoprotein,['nl']
immunisation,['fr']
sunset clause,['nl']
social distancing,['nl']
containment,['nl']
CRII,['nl']
JPA,['nl']
epidemic,['da']
lockdown,['it']
PHEIC,['it']
audioconference,['nl']
audioconference call,['nl']
interleukin,['da']
AMC,['nl']
‘green lane’ border crossing,['nl']
green lane,['nl']
ACC,['fr']
visor,['es']
first responder,['da']
IES,['de']
NPI,['nl']
NPIs,['nl']
VAV ECMO,['cs']
CMSS,['cs']
Coronavirus Response Investment Initiative Plus,['da']
FFP,['cs']
FFP mask,['cs']
FFP1 mask,['cs']
FFP2 mask,['cs']
FFP3 mask,['cs']
particulate respirator,['nl']
maintenance-free dust respirator,['nl']
respirator mask,['nl']
hydroxychloroquine,['fr']
polymethyl methacrylate,['da']
RADT,['it']
intensive care,['nl']
EGF,['de']
HEF,['de']
capsomere,['it']
ivermectin,['cs']
compassionate use,['nl']
Access to COVID-19 Tools Accelerator,['nl']
ERC,['de']
ACE2,['fi']
hypoxia,['da']
CPZ,['fr']
chlorpromazine,['fr']
adaptive immunity,['fr']
ventilator,['nl']
mechanical ventilator,['nl']
lung ventilator,['nl']
swab,['nl']
